"product","province","period","price","year"
"K",12,"2018-06-03",31.84,"2018-01-01"
"K",24,"2018-09-23",52.73,"2018-01-01"
"K",46,"2018-07-10",74.25,"2018-01-01"
"K",46,"2018-12-25",100.46,"2018-01-01"
"K",46,"2018-10-25",78.79,"2018-01-01"
"K",13,"2018-08-14",42.57,"2018-01-01"
"K",59,"2018-04-27",111,"2018-01-01"
"K",35,"2018-11-11",75.41,"2018-01-01"
"K",59,"2018-04-26",107.5,"2018-01-01"
"K",48,"2018-09-15",79.4,"2018-01-01"
"K",59,"2018-02-02",133.24,"2018-01-01"
"K",10,"2018-10-15",35.27,"2018-01-01"
"K",35,"2018-06-08",83.58,"2018-01-01"
"K",46,"2018-01-29",71.55,"2018-01-01"
"K",46,"2018-06-18",106.07,"2018-01-01"
"K",12,"2018-01-18",31.26,"2018-01-01"
"K",46,"2018-09-03",78.64,"2018-01-01"
"K",35,"2018-08-24",87.13,"2018-01-01"
"K",35,"2018-04-06",55.16,"2018-01-01"
"K",13,"2018-07-25",31.19,"2018-01-01"
"K",10,"2018-09-02",32.49,"2018-01-01"
"K",13,"2018-11-20",32.26,"2018-01-01"
"K",48,"2018-06-23",85.64,"2018-01-01"
"K",11,"2018-04-12",37.85,"2018-01-01"
"K",24,"2019-01-05",54.6,"2018-01-01"
"K",24,"2018-01-12",47.66,"2018-01-01"
"K",13,"2019-01-03",42.77,"2018-01-01"
"K",48,"2018-12-05",76.3,"2018-01-01"
"K",11,"2018-08-21",35.04,"2018-01-01"
"K",10,"2019-01-17",31.15,"2018-01-01"
"K",24,"2018-04-21",52.18,"2018-01-01"
"K",10,"2018-03-05",28.43,"2018-01-01"
"K",59,"2018-12-25",131.4,"2018-01-01"
"K",46,"2018-06-02",95.54,"2018-01-01"
"K",59,"2018-10-03",78.86,"2018-01-01"
"K",12,"2018-04-08",37.72,"2018-01-01"
"K",59,"2018-01-27",87.46,"2018-01-01"
"K",24,"2018-09-05",64.18,"2018-01-01"
"K",24,"2018-11-02",47.3,"2018-01-01"
"K",47,"2018-05-26",70.49,"2018-01-01"
"K",10,"2018-01-22",37.44,"2018-01-01"
"K",10,"2018-08-08",29.1,"2018-01-01"
"K",35,"2018-03-29",59.2,"2018-01-01"
"K",11,"2018-02-06",29.35,"2018-01-01"
"K",48,"2018-07-16",88.69,"2018-01-01"
"K",13,"2018-11-27",39.21,"2018-01-01"
"K",11,"2018-02-10",30.53,"2018-01-01"
"K",48,"2018-05-27",67.82,"2018-01-01"
"K",10,"2019-01-20",29.36,"2018-01-01"
"K",46,"2018-11-03",69.64,"2018-01-01"
"K",48,"2018-03-03",88.55,"2018-01-01"
"K",47,"2018-02-25",101.29,"2018-01-01"
"K",59,"2018-04-20",127.52,"2018-01-01"
"K",35,"2018-12-29",70.58,"2018-01-01"
"K",47,"2019-01-10",90.89,"2018-01-01"
"K",46,"2018-09-23",93.65,"2018-01-01"
"K",24,"2018-05-08",45.98,"2018-01-01"
"K",59,"2018-05-17",103.55,"2018-01-01"
"K",59,"2019-01-09",90.41,"2018-01-01"
"K",10,"2018-01-17",31.72,"2018-01-01"
"K",47,"2018-12-26",110.49,"2018-01-01"
"K",12,"2019-01-25",40.82,"2018-01-01"
"K",59,"2018-02-02",110.91,"2018-01-01"
"K",11,"2018-04-01",34.47,"2018-01-01"
"K",12,"2018-04-07",35.9,"2018-01-01"
"K",47,"2018-06-04",78.02,"2018-01-01"
"K",46,"2018-03-30",97.88,"2018-01-01"
"K",12,"2018-02-26",32.89,"2018-01-01"
"K",35,"2018-01-03",77.35,"2018-01-01"
"K",48,"2019-01-10",74.25,"2018-01-01"
"K",10,"2018-07-14",29.15,"2018-01-01"
"K",48,"2018-03-21",81.12,"2018-01-01"
"K",46,"2018-12-07",109.03,"2018-01-01"
"K",11,"2018-01-19",36.52,"2018-01-01"
"K",11,"2018-01-02",36.75,"2018-01-01"
"K",46,"2018-09-03",65.36,"2018-01-01"
"K",35,"2018-02-21",69.06,"2018-01-01"
"K",10,"2018-08-05",28.82,"2018-01-01"
"K",48,"2018-08-25",70.8,"2018-01-01"
"K",12,"2018-05-06",34.64,"2018-01-01"
"K",35,"2018-01-27",81.9,"2018-01-01"
"K",11,"2018-10-21",38.88,"2018-01-01"
"K",47,"2018-04-26",81.65,"2018-01-01"
"K",24,"2018-01-17",48.4,"2018-01-01"
"K",48,"2018-06-27",81.25,"2018-01-01"
"K",11,"2018-09-07",30.06,"2018-01-01"
"K",11,"2018-10-24",33.66,"2018-01-01"
"K",13,"2018-07-01",31.8,"2018-01-01"
"K",10,"2018-10-14",34.75,"2018-01-01"
"K",10,"2018-10-25",29.68,"2018-01-01"
"K",35,"2018-04-01",77.09,"2018-01-01"
"K",59,"2018-11-04",131.91,"2018-01-01"
"K",11,"2018-03-22",29.97,"2018-01-01"
"K",24,"2019-01-13",54.55,"2018-01-01"
"K",35,"2018-11-02",80.07,"2018-01-01"
"K",59,"2018-04-29",135.03,"2018-01-01"
"K",48,"2018-05-19",72.15,"2018-01-01"
"K",35,"2018-03-13",68.5,"2018-01-01"
"K",24,"2018-01-15",43.24,"2018-01-01"
"K",12,"2018-05-04",35.4,"2018-01-01"
"K",48,"2018-06-05",90.78,"2018-01-01"
"K",10,"2018-05-31",33.51,"2018-01-01"
"K",24,"2018-01-11",51.91,"2018-01-01"
"K",46,"2019-01-11",72.11,"2018-01-01"
"K",46,"2019-01-15",80.13,"2018-01-01"
"K",47,"2018-10-06",106.13,"2018-01-01"
"K",12,"2018-05-04",30.2,"2018-01-01"
"K",46,"2018-11-25",85.86,"2018-01-01"
"K",12,"2018-07-12",34.85,"2018-01-01"
"K",46,"2018-08-08",65.52,"2018-01-01"
"K",35,"2018-07-19",80.06,"2018-01-01"
"K",47,"2018-05-23",90.52,"2018-01-01"
"K",12,"2018-03-02",39.94,"2018-01-01"
"K",48,"2019-01-31",101.01,"2018-01-01"
"K",12,"2019-01-22",30.64,"2018-01-01"
"K",13,"2018-10-15",39.62,"2018-01-01"
"K",35,"2018-02-12",70.26,"2018-01-01"
"K",59,"2018-06-12",103.57,"2018-01-01"
"K",47,"2018-06-11",75.45,"2018-01-01"
"K",46,"2018-05-25",70.8,"2018-01-01"
"K",48,"2018-11-26",104.02,"2018-01-01"
"K",46,"2018-09-22",82.99,"2018-01-01"
"K",10,"2018-01-15",30.8,"2018-01-01"
"K",11,"2019-01-27",39.59,"2018-01-01"
"K",11,"2019-01-13",38.9,"2018-01-01"
"K",13,"2018-12-19",39.26,"2018-01-01"
"K",10,"2018-06-01",33,"2018-01-01"
"K",10,"2018-04-06",32.86,"2018-01-01"
"K",13,"2018-01-20",43.04,"2018-01-01"
"K",10,"2018-08-16",35.21,"2018-01-01"
"K",46,"2018-07-25",78.6,"2018-01-01"
"K",47,"2018-08-31",110.91,"2018-01-01"
"K",35,"2018-08-01",55.27,"2018-01-01"
"K",48,"2018-08-26",69.07,"2018-01-01"
"K",11,"2018-02-14",38.27,"2018-01-01"
"K",11,"2018-12-19",31.55,"2018-01-01"
"K",11,"2018-02-15",36.55,"2018-01-01"
"K",11,"2018-03-21",36.83,"2018-01-01"
"K",24,"2018-12-08",44.39,"2018-01-01"
"K",35,"2018-09-03",67.31,"2018-01-01"
"K",10,"2018-11-17",28.29,"2018-01-01"
"K",12,"2018-03-07",39.97,"2018-01-01"
"K",35,"2018-12-05",84.83,"2018-01-01"
"K",13,"2018-12-25",35.59,"2018-01-01"
"K",47,"2018-04-13",74.84,"2018-01-01"
"K",47,"2018-07-02",91.56,"2018-01-01"
"K",59,"2018-08-22",93.59,"2018-01-01"
"K",47,"2018-06-30",79.93,"2018-01-01"
"K",48,"2018-01-17",108.95,"2018-01-01"
"K",11,"2018-06-18",33.53,"2018-01-01"
"K",11,"2018-10-26",38.99,"2018-01-01"
"K",35,"2018-03-15",76.84,"2018-01-01"
"K",35,"2018-06-01",59.15,"2018-01-01"
"K",47,"2018-03-31",97.48,"2018-01-01"
"K",12,"2018-08-02",40.95,"2018-01-01"
"K",10,"2018-02-14",28.82,"2018-01-01"
"K",46,"2018-08-30",105.44,"2018-01-01"
"K",10,"2018-06-24",29.2,"2018-01-01"
"K",11,"2018-09-29",37.36,"2018-01-01"
"K",35,"2018-01-28",87.19,"2018-01-01"
"K",12,"2018-05-01",35.39,"2018-01-01"
"K",46,"2018-01-08",87.59,"2018-01-01"
"K",12,"2018-03-04",36.59,"2018-01-01"
"K",46,"2018-12-25",83.76,"2018-01-01"
"K",35,"2018-10-26",65.17,"2018-01-01"
"K",12,"2018-02-28",32.51,"2018-01-01"
"K",24,"2018-06-23",62.8,"2018-01-01"
"K",48,"2018-07-29",67.88,"2018-01-01"
"K",12,"2018-12-10",29.91,"2018-01-01"
"K",11,"2019-01-05",38.03,"2018-01-01"
"K",10,"2018-08-05",35.56,"2018-01-01"
"K",35,"2018-04-18",64.42,"2018-01-01"
"K",12,"2018-07-11",37.84,"2018-01-01"
"K",48,"2018-07-07",92.25,"2018-01-01"
"K",47,"2018-02-07",85.98,"2018-01-01"
"K",35,"2018-11-29",60.87,"2018-01-01"
"K",24,"2018-12-21",45.61,"2018-01-01"
"K",47,"2018-05-10",84.27,"2018-01-01"
"K",59,"2018-11-09",96.02,"2018-01-01"
"K",11,"2018-07-17",35.13,"2018-01-01"
"K",35,"2018-11-13",75.41,"2018-01-01"
"K",48,"2018-05-15",91.21,"2018-01-01"
"K",12,"2018-03-23",32.91,"2018-01-01"
"K",47,"2018-03-09",106.08,"2018-01-01"
"K",46,"2018-09-09",64.85,"2018-01-01"
"K",59,"2018-06-30",131.06,"2018-01-01"
"K",11,"2018-07-27",30.31,"2018-01-01"
"K",12,"2018-04-12",41.41,"2018-01-01"
"K",47,"2018-09-26",68.03,"2018-01-01"
"K",47,"2018-07-21",106.15,"2018-01-01"
"K",12,"2018-02-25",32.51,"2018-01-01"
"K",11,"2018-05-20",36.89,"2018-01-01"
"K",35,"2018-01-31",53.76,"2018-01-01"
"K",13,"2018-12-22",32.29,"2018-01-01"
"K",47,"2019-01-04",69.83,"2018-01-01"
"K",24,"2018-07-06",51.68,"2018-01-01"
"K",11,"2018-05-01",37.87,"2018-01-01"
"K",35,"2018-06-14",68.54,"2018-01-01"
"K",46,"2018-03-24",75.34,"2018-01-01"
"K",35,"2019-01-18",69.18,"2018-01-01"
"K",47,"2018-05-05",81.66,"2018-01-01"
"K",35,"2018-05-31",60.28,"2018-01-01"
"K",59,"2018-01-03",110.23,"2018-01-01"
"K",10,"2018-09-12",36.83,"2018-01-01"
"K",35,"2018-09-25",68.18,"2018-01-01"
"K",12,"2018-03-22",30.61,"2018-01-01"
"K",59,"2018-12-15",117.74,"2018-01-01"
"K",48,"2018-09-01",67.44,"2018-01-01"
"K",13,"2018-05-17",39.43,"2018-01-01"
"K",47,"2018-09-25",73.48,"2018-01-01"
"K",11,"2018-02-08",36.26,"2018-01-01"
"K",10,"2018-12-16",30.15,"2018-01-01"
"K",46,"2018-08-29",69.45,"2018-01-01"
"K",48,"2018-01-28",109.05,"2018-01-01"
"K",13,"2018-12-14",37.73,"2018-01-01"
"K",48,"2018-12-20",103.23,"2018-01-01"
"K",10,"2018-07-23",37.62,"2018-01-01"
"K",10,"2018-06-02",29.03,"2018-01-01"
"K",35,"2018-07-05",59.3,"2018-01-01"
"K",11,"2018-06-23",33.97,"2018-01-01"
"K",48,"2018-01-01",90.62,"2018-01-01"
"K",47,"2018-08-08",76.2,"2018-01-01"
"K",59,"2018-11-07",128.71,"2018-01-01"
"K",48,"2018-11-11",67.99,"2018-01-01"
"K",47,"2018-12-09",71.64,"2018-01-01"
"K",11,"2018-08-02",37.88,"2018-01-01"
"K",10,"2018-12-09",32.65,"2018-01-01"
"K",35,"2018-10-25",67.8,"2018-01-01"
"K",10,"2018-08-20",28.15,"2018-01-01"
"K",11,"2018-09-26",32.5,"2018-01-01"
"K",46,"2019-01-06",89.2,"2018-01-01"
"K",46,"2018-02-08",103.24,"2018-01-01"
"K",24,"2018-12-06",59.41,"2018-01-01"
"K",12,"2018-01-17",36.05,"2018-01-01"
"K",11,"2018-05-07",34.74,"2018-01-01"
"K",10,"2018-02-13",34.06,"2018-01-01"
"K",13,"2018-04-10",32.97,"2018-01-01"
"K",13,"2018-07-27",36.66,"2018-01-01"
"K",24,"2018-09-21",60.88,"2018-01-01"
"K",46,"2018-03-24",82.8,"2018-01-01"
"K",10,"2018-06-20",33.52,"2018-01-01"
"K",10,"2018-07-03",37.33,"2018-01-01"
"K",12,"2018-10-17",38.76,"2018-01-01"
"K",59,"2019-01-15",93.14,"2018-01-01"
"K",59,"2018-03-15",118.44,"2018-01-01"
