"product","province","period","price1","price2","price3","year"
"E","47",2018-02-01,83.31,88.03,87.13,2018-01-01
"F","47",2018-02-01,63.92,65.27,63.27,2018-01-01
"G","47",2018-02-01,71.21,66.91,65.23,2018-01-01
"H","47",2018-02-01,84.3,86.41,86.94,2018-01-01
"J","47",2018-02-01,92.54,88.86,92.22,2018-01-01
"A","48",2018-02-01,49.13,40.99,41.44,2018-01-01
"B","48",2018-02-01,66.01,71.23,69.49,2018-01-01
"C","48",2018-02-01,70.24,78.61,72.95,2018-01-01
"D","48",2018-02-01,48.83,54.89,48.8,2018-01-01
"E","48",2018-02-01,73.68,80.52,80.53,2018-01-01
"F","48",2018-02-01,79.29,70.91,85.78,2018-01-01
"G","48",2018-02-01,80.23,84.92,84.87,2018-01-01
"H","48",2018-02-01,109.11,109.35,111.59,2018-01-01
"J","48",2018-02-01,115.39,112.86,111.16,2018-01-01
"A","59",2018-02-01,49.83,49.14,44.38,2018-01-01
"B","59",2018-02-01,52.5,44.56,59.17,2018-01-01
"C","59",2018-02-01,73.43,77.09,73.05,2018-01-01
"D","59",2018-02-01,80.53,88.93,NA,2018-01-01
"E","59",2018-02-01,94.43,93.1,93.8,2018-01-01
"F","59",2018-02-01,82.69,84.79,NA,2018-01-01
"G","59",2018-02-01,97.11,99.46,96.01,2018-01-01
"H","59",2018-02-01,91.38,98,92.87,2018-01-01
"J","59",2018-02-01,93.93,92.01,90.03,2018-01-01
"A","10",2018-03-01,53.35,54.77,58.49,2018-01-01
"B","10",2018-03-01,69.32,64.51,67.06,2018-01-01
"C","10",2018-03-01,85.6,82.34,NA,2018-01-01
"D","10",2018-03-01,63.54,68.58,63.66,2018-01-01
"E","10",2018-03-01,74.2,71.33,80.7,2018-01-01
"F","10",2018-03-01,82.33,82.65,79.59,2018-01-01
"G","10",2018-03-01,95.05,97.13,102.07,2018-01-01
"H","10",2018-03-01,94.13,98.59,97.17,2018-01-01
"J","10",2018-03-01,79.05,82.39,75.37,2018-01-01
"A","11",2018-03-01,55.1,46.62,62.77,2018-01-01
"B","11",2018-03-01,54.14,60.32,60.2,2018-01-01
"C","11",2018-03-01,79.81,84.18,NA,2018-01-01
"D","11",2018-03-01,57.53,59.27,64.23,2018-01-01
"E","11",2018-03-01,111.74,120.45,103.96,2018-01-01
"F","11",2018-03-01,98.31,103.75,106.98,2018-01-01
"G","11",2018-03-01,94.97,90.62,93,2018-01-01
"H","11",2018-03-01,80.93,85.37,75.05,2018-01-01
"J","11",2018-03-01,109.99,108.63,109.1,2018-01-01
"A","12",2018-03-01,45.86,42.1,50,2018-01-01
"B","12",2018-03-01,60.66,64.98,66.9,2018-01-01
"C","12",2018-03-01,41.13,39.81,NA,2018-01-01
"D","12",2018-03-01,69.81,71.53,61.65,2018-01-01
"E","12",2018-03-01,58.32,55.89,61.65,2018-01-01
"F","12",2018-03-01,117.1,120.65,112.03,2018-01-01
"G","12",2018-03-01,95.94,89.65,96.3,2018-01-01
"H","12",2018-03-01,73.35,72.97,66.12,2018-01-01
"J","12",2018-03-01,133.53,140.44,141.84,2018-01-01
"A","13",2018-03-01,39.36,38.8,37.97,2018-01-01
"B","13",2018-03-01,66.12,67.7,71.56,2018-01-01
"C","13",2018-03-01,52.38,57.3,NA,2018-01-01
"D","13",2018-03-01,62.99,69.32,56.57,2018-01-01
"E","13",2018-03-01,90.41,82.47,98.29,2018-01-01
"F","13",2018-03-01,83.22,75.94,91.95,2018-01-01
"G","13",2018-03-01,78.34,74.84,73,2018-01-01
"H","13",2018-03-01,90,92.42,83.63,2018-01-01
"J","13",2018-03-01,90.85,93.68,87.64,2018-01-01
"A","24",2018-03-01,61.05,57.29,52.97,2018-01-01
"B","24",2018-03-01,59.18,58.28,64.3,2018-01-01
"C","24",2018-03-01,69.61,65.48,70.95,2018-01-01
"D","24",2018-03-01,84.6,92.29,79.14,2018-01-01
"E","24",2018-03-01,86.76,95.49,82.13,2018-01-01
"F","24",2018-03-01,73.76,71.3,71.72,2018-01-01
"G","24",2018-03-01,77.91,83.46,71.44,2018-01-01
"H","24",2018-03-01,101.8,93.54,94.81,2018-01-01
"J","24",2018-03-01,88.78,82.58,81.92,2018-01-01
"A","35",2018-03-01,39.68,35.61,42.72,2018-01-01
"B","35",2018-03-01,70.23,69.83,76.19,2018-01-01
"C","35",2018-03-01,55.89,63.28,61.05,2018-01-01
"D","35",2018-03-01,60.01,58.02,68.53,2018-01-01
"E","35",2018-03-01,68.97,68.74,67.63,2018-01-01
"F","35",2018-03-01,58.71,64.74,59.55,2018-01-01
"G","35",2018-03-01,88.68,95.42,94.01,2018-01-01
"H","35",2018-03-01,86.62,83.72,90.91,2018-01-01
"J","35",2018-03-01,112.77,112.12,117.68,2018-01-01
"A","46",2018-03-01,49.54,47.51,54.98,2018-01-01
"B","46",2018-03-01,68.87,74.43,69.62,2018-01-01
"C","46",2018-03-01,49.33,41.85,43.56,2018-01-01
"D","46",2018-03-01,51.36,55.85,45.59,2018-01-01
"E","46",2018-03-01,85.63,93.08,80.52,2018-01-01
"F","46",2018-03-01,106.32,100.98,112.46,2018-01-01
"G","46",2018-03-01,94.15,96.64,94.01,2018-01-01
"H","46",2018-03-01,79.36,80.29,73.11,2018-01-01
"J","46",2018-03-01,88.8,93.26,91.08,2018-01-01
"A","47",2018-03-01,50.49,44.2,44.47,2018-01-01
"B","47",2018-03-01,42.69,41.63,40.83,2018-01-01
"C","47",2018-03-01,90,91.52,82.33,2018-01-01
"D","47",2018-03-01,66.32,68.37,67.7,2018-01-01
"E","47",2018-03-01,79.46,80.24,71.27,2018-01-01
"F","47",2018-03-01,56.13,63.4,58.83,2018-01-01
"G","47",2018-03-01,63.72,67.89,57.34,2018-01-01
"H","47",2018-03-01,78.93,72.62,83.03,2018-01-01
"J","47",2018-03-01,105.93,109.55,102.65,2018-01-01
"A","48",2018-03-01,43.86,41.85,52.57,2018-01-01
"B","48",2018-03-01,74.7,67.22,66.49,2018-01-01
"C","48",2018-03-01,80.47,77.04,79.99,2018-01-01
"D","48",2018-03-01,50.33,54.25,43.42,2018-01-01
"E","48",2018-03-01,73.88,79.24,67.09,2018-01-01
"F","48",2018-03-01,94.35,94.14,101.69,2018-01-01
"G","48",2018-03-01,85.45,87.71,80.45,2018-01-01
"H","48",2018-03-01,102.28,107.9,97.81,2018-01-01
"J","48",2018-03-01,137.35,141.46,145.86,2018-01-01
"A","59",2018-03-01,44.88,42.45,50.7,2018-01-01
"B","59",2018-03-01,48.67,45.25,48.25,2018-01-01
"C","59",2018-03-01,68.12,73.69,68.08,2018-01-01
"D","59",2018-03-01,95.78,95.61,NA,2018-01-01
"E","59",2018-03-01,83.05,87.6,86.68,2018-01-01
"F","59",2018-03-01,74.12,76.74,NA,2018-01-01
"G","59",2018-03-01,98.37,100.62,100.57,2018-01-01
"H","59",2018-03-01,94.64,99.76,99.24,2018-01-01
"J","59",2018-03-01,90.3,90.6,85.39,2018-01-01
"A","10",2018-04-01,63.93,71.33,61,2018-01-01
"B","10",2018-04-01,72.94,78.39,70.77,2018-01-01
"C","10",2018-04-01,83.32,89.81,NA,2018-01-01
"D","10",2018-04-01,59.96,60.79,53.57,2018-01-01
"E","10",2018-04-01,83.22,89.23,87.99,2018-01-01
"F","10",2018-04-01,83.62,89.27,91.32,2018-01-01
"G","10",2018-04-01,103.47,106.1,96.39,2018-01-01
"H","10",2018-04-01,101.66,99.02,105.74,2018-01-01
"J","10",2018-04-01,87.61,88.61,86.53,2018-01-01
"A","11",2018-04-01,60.51,52.17,64.73,2018-01-01
"B","11",2018-04-01,50.2,52.19,57.64,2018-01-01
"C","11",2018-04-01,80.9,74.29,NA,2018-01-01
"D","11",2018-04-01,54.05,54.51,62.45,2018-01-01
"E","11",2018-04-01,112.66,112.34,120.43,2018-01-01
"F","11",2018-04-01,112.09,112.27,114.54,2018-01-01
"G","11",2018-04-01,95.19,95.31,101.79,2018-01-01
"H","11",2018-04-01,77.15,83.4,79.57,2018-01-01
"J","11",2018-04-01,95.52,87.49,97.12,2018-01-01
"A","12",2018-04-01,49.09,45.07,46.53,2018-01-01
"B","12",2018-04-01,55.28,46.58,49.32,2018-01-01
"C","12",2018-04-01,49.08,56.41,NA,2018-01-01
"D","12",2018-04-01,61.21,67.8,55.68,2018-01-01
"E","12",2018-04-01,56.48,48.87,56.64,2018-01-01
"F","12",2018-04-01,118.16,116.5,110.21,2018-01-01
"G","12",2018-04-01,94.49,102.27,88.35,2018-01-01
"H","12",2018-04-01,63.76,72.14,72.4,2018-01-01
"J","12",2018-04-01,121.3,122.82,125.36,2018-01-01
"A","13",2018-04-01,39.28,32.17,30.48,2018-01-01
"B","13",2018-04-01,59.9,54.64,58.23,2018-01-01
"C","13",2018-04-01,58.35,56.93,NA,2018-01-01
"D","13",2018-04-01,74.83,76.13,72.28,2018-01-01
"E","13",2018-04-01,96.42,90.29,98.04,2018-01-01
"F","13",2018-04-01,91.52,88.38,86.46,2018-01-01
"G","13",2018-04-01,71.73,68.46,65.38,2018-01-01
"H","13",2018-04-01,105.44,101.22,102.12,2018-01-01
"J","13",2018-04-01,78.68,77.72,71.97,2018-01-01
"A","24",2018-04-01,57.77,57.34,65.01,2018-01-01
"B","24",2018-04-01,70.76,62.21,62.97,2018-01-01
"C","24",2018-04-01,66.87,62.19,74.76,2018-01-01
"D","24",2018-04-01,77.09,79.24,74.86,2018-01-01
"E","24",2018-04-01,97.81,89.67,105.3,2018-01-01
"F","24",2018-04-01,86.47,90.8,83.59,2018-01-01
"G","24",2018-04-01,82.65,84.61,87.68,2018-01-01
"H","24",2018-04-01,92.75,90.3,99.59,2018-01-01
"J","24",2018-04-01,77.1,69.36,81.02,2018-01-01
"A","35",2018-04-01,39.69,46.03,39.22,2018-01-01
"B","35",2018-04-01,74.76,82.07,69.99,2018-01-01
"C","35",2018-04-01,50.68,53.47,42.28,2018-01-01
"D","35",2018-04-01,55.17,48.2,50.66,2018-01-01
"E","35",2018-04-01,72.56,73.63,80.82,2018-01-01
"F","35",2018-04-01,54.23,58.61,62.5,2018-01-01
"G","35",2018-04-01,80.22,84.99,79.47,2018-01-01
"H","35",2018-04-01,86.13,77.49,87.36,2018-01-01
"J","35",2018-04-01,103.04,97.76,98.53,2018-01-01
"A","46",2018-04-01,53.57,55.39,45.59,2018-01-01
"B","46",2018-04-01,82.07,90.43,74.52,2018-01-01
"C","46",2018-04-01,46.89,39.23,51.63,2018-01-01
"D","46",2018-04-01,48.64,55.29,56.34,2018-01-01
"E","46",2018-04-01,96.97,105.17,93.72,2018-01-01
"F","46",2018-04-01,90.48,93.28,90.95,2018-01-01
"G","46",2018-04-01,103.32,105.41,97.53,2018-01-01
"H","46",2018-04-01,81.18,83.69,75.99,2018-01-01
"J","46",2018-04-01,87.03,90.41,83.43,2018-01-01
"A","47",2018-04-01,43.18,37.14,39.77,2018-01-01
"B","47",2018-04-01,42.22,35.34,45.62,2018-01-01
"C","47",2018-04-01,80.71,72.41,88.89,2018-01-01
"D","47",2018-04-01,71.96,77.59,68.34,2018-01-01
"E","47",2018-04-01,78.98,85.92,86.88,2018-01-01
"F","47",2018-04-01,54.3,62.1,62.98,2018-01-01
"G","47",2018-04-01,55.85,59.7,52.69,2018-01-01
"H","47",2018-04-01,69.91,76.07,75.26,2018-01-01
"J","47",2018-04-01,110.8,105.47,111.07,2018-01-01
"A","48",2018-04-01,42.78,42.15,49.45,2018-01-01
"B","48",2018-04-01,81.27,79.3,73.82,2018-01-01
"C","48",2018-04-01,93.82,95.94,92.83,2018-01-01
"D","48",2018-04-01,44.06,41.52,46.23,2018-01-01
"E","48",2018-04-01,80.4,73.89,76.79,2018-01-01
"F","48",2018-04-01,94.04,102.16,92.48,2018-01-01
"G","48",2018-04-01,88.64,95.93,88.09,2018-01-01
"H","48",2018-04-01,88.79,82.02,94.47,2018-01-01
"J","48",2018-04-01,148.15,151.9,144.64,2018-01-01
"A","59",2018-04-01,47.17,54.89,50.61,2018-01-01
"B","59",2018-04-01,41.66,41.45,42.9,2018-01-01
"C","59",2018-04-01,61.42,68.97,54.46,2018-01-01
"D","59",2018-04-01,110.96,103.09,NA,2018-01-01
"E","59",2018-04-01,86.97,79.12,90.7,2018-01-01
"F","59",2018-04-01,75.41,71.47,NA,2018-01-01
"G","59",2018-04-01,84.77,78.7,92.95,2018-01-01
"H","59",2018-04-01,84.56,88.87,77.4,2018-01-01
"J","59",2018-04-01,83.97,80.09,76.41,2018-01-01
"A","10",2018-05-01,58.27,60.35,59.54,2018-01-01
"B","10",2018-05-01,84.4,89.44,78.44,2018-01-01
"C","10",2018-05-01,91.27,91.5,NA,2018-01-01
"D","10",2018-05-01,64.35,64.01,69.49,2018-01-01
"E","10",2018-05-01,96.42,87.9,98.8,2018-01-01
"F","10",2018-05-01,77.24,80.83,78.46,2018-01-01
"G","10",2018-05-01,112.49,118.01,115.1,2018-01-01
"H","10",2018-05-01,90.38,92.72,82.47,2018-01-01
"J","10",2018-05-01,102.82,110.73,94.94,2018-01-01
"A","11",2018-05-01,69.95,68.17,68.81,2018-01-01
"B","11",2018-05-01,55.87,48.43,53.23,2018-01-01
"C","11",2018-05-01,70.09,78.84,NA,2018-01-01
"D","11",2018-05-01,50.56,54.69,57.99,2018-01-01
"E","11",2018-05-01,105.59,96.95,112.66,2018-01-01
"F","11",2018-05-01,113.47,113.27,112.94,2018-01-01
"G","11",2018-05-01,113.92,113.38,119.92,2018-01-01
"H","11",2018-05-01,90.48,95.18,83.25,2018-01-01
"J","11",2018-05-01,107.52,107.41,101.81,2018-01-01
"A","12",2018-05-01,47.16,49.02,45.65,2018-01-01
"B","12",2018-05-01,66.29,65.86,69.84,2018-01-01
"C","12",2018-05-01,56.39,50.35,NA,2018-01-01
"D","12",2018-05-01,55,53.52,48.13,2018-01-01
"E","12",2018-05-01,67.2,67.11,74.83,2018-01-01
"F","12",2018-05-01,117.8,111.88,122.56,2018-01-01
"G","12",2018-05-01,98.11,96.03,92.48,2018-01-01
"H","12",2018-05-01,61.31,65.08,69.97,2018-01-01
"J","12",2018-05-01,106.59,100.47,108.5,2018-01-01
"A","13",2018-05-01,41.76,48.64,35.11,2018-01-01
"B","13",2018-05-01,57.88,51.32,62.87,2018-01-01
"C","13",2018-05-01,69.98,61.85,NA,2018-01-01
"D","13",2018-05-01,67.13,74.28,73.37,2018-01-01
"E","13",2018-05-01,114.95,113.66,116.14,2018-01-01
"F","13",2018-05-01,94.09,92.18,97.07,2018-01-01
"G","13",2018-05-01,85.92,77.21,92.37,2018-01-01
"H","13",2018-05-01,108.88,101.6,113.44,2018-01-01
"J","13",2018-05-01,68.21,75.68,71.03,2018-01-01
"A","24",2018-05-01,67.18,68.15,74.29,2018-01-01
"B","24",2018-05-01,71.7,80.51,67.57,2018-01-01
"C","24",2018-05-01,68.19,60.09,65.34,2018-01-01
"D","24",2018-05-01,74.4,71.29,74.61,2018-01-01
"E","24",2018-05-01,97.24,94.83,105.4,2018-01-01
"F","24",2018-05-01,77.86,80.11,69.23,2018-01-01
"G","24",2018-05-01,74.3,70.95,77.19,2018-01-01
"H","24",2018-05-01,95.73,89.82,99.48,2018-01-01
"J","24",2018-05-01,77.8,80.43,79.56,2018-01-01
"A","35",2018-05-01,38.3,36.59,30.07,2018-01-01
"B","35",2018-05-01,88.44,83.26,94.16,2018-01-01
"C","35",2018-05-01,57.49,52.38,62.76,2018-01-01
"D","35",2018-05-01,54.13,57.11,61.92,2018-01-01
"E","35",2018-05-01,78.5,87.25,69.92,2018-01-01
"F","35",2018-05-01,63.51,66.73,67.16,2018-01-01
"G","35",2018-05-01,71.23,75.93,73.1,2018-01-01
"H","35",2018-05-01,100.93,92.9,93.38,2018-01-01
"J","35",2018-05-01,92.32,95.07,88.39,2018-01-01
"A","46",2018-05-01,49.63,44.72,43.95,2018-01-01
"B","46",2018-05-01,81.4,73.94,73.89,2018-01-01
"C","46",2018-05-01,42.71,38.52,45.28,2018-01-01
"D","46",2018-05-01,54.17,48.66,53.36,2018-01-01
"E","46",2018-05-01,108.72,117.46,111.77,2018-01-01
"F","46",2018-05-01,92.07,98.15,87.18,2018-01-01
"G","46",2018-05-01,112.94,112.63,106.54,2018-01-01
"H","46",2018-05-01,71.99,79.08,70.49,2018-01-01
"J","46",2018-05-01,91.64,83.76,88.89,2018-01-01
"A","47",2018-05-01,47.09,54.7,45.47,2018-01-01
"B","47",2018-05-01,43.33,47.22,39.26,2018-01-01
"C","47",2018-05-01,94.19,96.5,90.57,2018-01-01
"D","47",2018-05-01,72.23,72.39,71.38,2018-01-01
"E","47",2018-05-01,87.06,83.99,86,2018-01-01
"F","47",2018-05-01,46.8,43.48,46.46,2018-01-01
"G","47",2018-05-01,47.83,41.13,39.23,2018-01-01
"H","47",2018-05-01,68.27,72.32,63.26,2018-01-01
"J","47",2018-05-01,126,128.9,126.49,2018-01-01
"A","48",2018-05-01,48.64,57.34,44.3,2018-01-01
"B","48",2018-05-01,86.16,86.46,82.18,2018-01-01
"C","48",2018-05-01,110.29,108.09,105.28,2018-01-01
"D","48",2018-05-01,48.86,56.64,51.57,2018-01-01
"E","48",2018-05-01,89.98,81.55,83.13,2018-01-01
"F","48",2018-05-01,87.07,85.95,82,2018-01-01
"G","48",2018-05-01,90.45,98.41,89.86,2018-01-01
"H","48",2018-05-01,86.7,81.61,88.68,2018-01-01
"J","48",2018-05-01,173.52,170.01,175.85,2018-01-01
"A","59",2018-05-01,52.26,48.14,56.05,2018-01-01
"B","59",2018-05-01,47,54.1,39.08,2018-01-01
"C","59",2018-05-01,64.82,69.29,64.53,2018-01-01
"D","59",2018-05-01,131.04,124.08,NA,2018-01-01
"E","59",2018-05-01,93.16,86.6,92.66,2018-01-01
"F","59",2018-05-01,65.51,58.03,NA,2018-01-01
"G","59",2018-05-01,78.03,80.81,69.65,2018-01-01
"H","59",2018-05-01,90.7,95.28,85.71,2018-01-01
"J","59",2018-05-01,98.43,100.73,99.31,2018-01-01
"A","10",2018-06-01,63.4,57.41,57.22,2018-01-01
"B","10",2018-06-01,87.01,87.4,95.19,2018-01-01
