"","ea","period","price1","price2","price3","basket"
"187","10G","201803",127.36,129.21,120.52,"2018"
"188","10H","201803",102.93,99.66,94.82,"2018"
"189","10J","201803",93.25,94.78,98.12,"2018"
"190","11A","201803",74.74,69.73,72.41,"2018"
"191","11B","201803",55.32,50.42,55.71,"2018"
"192","11C","201803",79.98,79.19,80.69,"2018"
"193","11D","201803",66.93,62.02,65.13,"2018"
"194","11E","201803",114.4,114.75,118.87,"2018"
"195","11F","201803",118.55,112.01,117.57,"2018"
"196","11G","201803",110.19,102.76,110.65,"2018"
"197","11H","201803",81.73,83.44,79.2,"2018"
"198","11J","201803",119.91,121.03,116.83,"2018"
"199","12A","201803",53.3,53.26,54.84,"2018"
"200","12B","201803",77.13,72.07,72.3,"2018"
"201","12C","201803",59.03,55.57,51.44,"2018"
"202","12D","201803",61.21,59.58,63.66,"2018"
"203","12E","201803",67.05,69.04,64.37,"2018"
"204","12F","201803",127.03,123.27,129.1,"2018"
"205","12G","201803",107.1,99.02,106.87,"2018"
"206","12H","201803",72.26,76.25,74.19,"2018"
"207","12J","201803",137.91,137.62,131.48,"2018"
"208","13A","201803",43.65,43.73,42.2,"2018"
"209","13B","201803",59.85,59.05,62.41,"2018"
"210","13C","201803",66.38,68.65,62.92,"2018"
"211","13D","201803",65.07,65.88,63.14,"2018"
"212","13E","201803",121.84,113.75,116.91,"2018"
"213","13F","201803",96.94,97.62,92,"2018"
"214","13G","201803",78.19,79.93,76.62,"2018"
"215","13H","201803",120.85,113.41,122.76,"2018"
"216","13J","201803",82.15,82.38,83.08,"2018"
"217","24A","201803",62.58,62.49,58.47,"2018"
"218","24B","201803",56.58,56.26,56.91,"2018"
"219","24C","201803",61.74,72.77,65.56,"2018"
"220","24D","201803",75.79,69.63,67.03,"2018"
"221","24E","201803",86.18,88.49,82.32,"2018"
"222","24F","201803",65.84,64.15,68.76,"2018"
"223","24G","201803",71.3,78.48,73.92,"2018"
"224","24H","201803",117.07,107.51,117.71,"2018"
"225","24J","201803",77.98,82.03,93.57,"2018"
"226","35A","201803",35.59,30.95,33.96,"2018"
"227","35B","201803",66.57,64.06,67.87,"2018"
"228","35C","201803",42.25,43.52,49.7,"2018"
"229","35D","201803",43.34,44.73,41.28,"2018"
"230","35E","201803",50.04,50.56,54.38,"2018"
"231","35F","201803",43.62,44.2,41.98,"2018"
"232","35G","201803",56.34,60.69,56.16,"2018"
"233","35H","201803",68.54,68.42,67.22,"2018"
"234","35J","201803",93.31,82.4,86.37,"2018"
"235","46A","201803",60,53.41,62.81,"2018"
"236","46B","201803",77.29,77.72,85.79,"2018"
"237","46C","201803",47.26,48.68,46.58,"2018"
"238","46D","201803",72.39,66.32,57.34,"2018"
"239","46E","201803",104.28,97.66,101.68,"2018"
"240","46F","201803",100.18,109.81,105.18,"2018"
"241","46G","201803",123.76,120.65,135.43,"2018"
"242","46H","201803",82.11,66.37,77.92,"2018"
"243","46J","201803",103.43,110.09,123.81,"2018"
"244","47A","201803",35.2,36.23,35.16,"2018"
"245","47B","201803",36.85,34.87,36.37,"2018"
"246","47C","201803",70.7,63.35,64.57,"2018"
"247","47D","201803",58.22,53.42,51.72,"2018"
"248","47E","201803",63.89,55,61.98,"2018"
"249","47F","201803",54.88,50.2,56.71,"2018"
"250","47G","201803",40.94,37.14,43.06,"2018"
"251","47H","201803",56.02,59.78,58.59,"2018"
"252","47J","201803",87.31,93.53,94.95,"2018"
"253","48A","201803",66.58,58.22,65.32,"2018"
"254","48B","201803",96.81,93.88,105.27,"2018"
"255","48C","201803",151.79,126.49,121.98,"2018"
"256","48D","201803",61.94,65.44,57.39,"2018"
"257","48E","201803",115.21,114.5,97.65,"2018"
"258","48F","201803",106.94,96.63,110.91,"2018"
"259","48G","201803",96.47,96.97,111.16,"2018"
"260","48H","201803",116.37,136.65,127.98,"2018"
"261","48J","201803",179.17,200.64,176.72,"2018"
"262","59A","201803",47.79,47.95,45.93,"2018"
"263","59B","201803",37.48,36.12,NA,"2018"
"264","59C","201803",61.05,55.82,57.15,"2018"
"265","59D","201803",100.07,99.1,101.01,"2018"
"266","59E","201803",84.86,90.43,84.07,"2018"
"267","59F","201803",65.72,62.38,55.88,"2018"
"268","59G","201803",66.67,66.01,67.29,"2018"
"269","59H","201803",67.78,72.55,68.39,"2018"
"270","59J","201803",81.71,82.62,91.32,"2018"
"271","10A","201804",52.43,51.47,50.23,"2018"
"272","10B","201804",64.42,61.62,60.51,"2018"
"273","10C","201804",81.1,76.28,75.46,"2018"
"274","10D","201804",61.22,61.41,60.9,"2018"
"275","10E","201804",80.08,84.9,81.82,"2018"
"276","10F","201804",69.83,71.13,68.35,"2018"
"277","10G","201804",110.6,111.47,114.53,"2018"
"278","10H","201804",82.8,84.6,86.86,"2018"
"279","10J","201804",83.87,86.31,82.79,"2018"
"280","11A","201804",56.9,59.5,56.61,"2018"
"281","11B","201804",50.28,53.21,49.95,"2018"
"282","11C","201804",69.4,68.91,66.08,"2018"
"283","11D","201804",50.44,53.78,54.2,"2018"
"284","11E","201804",108.22,108.74,108.46,"2018"
"285","11F","201804",100.08,110.47,108.26,"2018"
"286","11G","201804",90.19,85.14,89.63,"2018"
"287","11H","201804",80.88,85.03,79.88,"2018"
"288","11J","201804",93.92,101.26,96.34,"2018"
"289","12A","201804",46.03,46.51,47.56,"2018"
"290","12B","201804",64.3,63.32,62.08,"2018"
"291","12C","201804",47.52,49.75,49.73,"2018"
"292","12D","201804",54.84,49.35,52.12,"2018"
"293","12E","201804",58.53,58.33,57.79,"2018"
"294","12F","201804",111.76,114.18,116.11,"2018"
"295","12G","201804",87.35,91.2,85.31,"2018"
"296","12H","201804",75.21,73.89,70.51,"2018"
"297","12J","201804",122.05,126.07,131.28,"2018"
"298","13A","201804",37.43,37.99,37.29,"2018"
"299","13B","201804",54.67,57.21,54.92,"2018"
"300","13C","201804",55.59,57.33,56.99,"2018"
"301","13D","201804",59.11,61.07,61.62,"2018"
"302","13E","201804",104.98,103.74,99.71,"2018"
"303","13F","201804",77.78,80.64,75.08,"2018"
"304","13G","201804",69.63,70.99,67.57,"2018"
"305","13H","201804",107.88,105.63,107.64,"2018"
"306","13J","201804",71.03,69.97,69.99,"2018"
"307","24A","201804",66.45,74.59,66.17,"2018"
"308","24B","201804",71.14,66.34,66.58,"2018"
"309","24C","201804",64.72,71.02,70.55,"2018"
"310","24D","201804",68.75,72.53,76.37,"2018"
"311","24E","201804",94.91,90.27,90.07,"2018"
"312","24F","201804",82.97,74.06,77.82,"2018"
"313","24G","201804",71.12,85,79.51,"2018"
"314","24H","201804",107.56,108.53,108.72,"2018"
"315","24J","201804",89.79,118.11,107.37,"2018"
"316","35A","201804",45.08,48.98,46.64,"2018"
"317","35B","201804",98.02,93.68,88.44,"2018"
"318","35C","201804",71.17,73.21,78.17,"2018"
"319","35D","201804",65.73,64.3,62.45,"2018"
"320","35E","201804",92.97,84.95,79.21,"2018"
"321","35F","201804",63.55,63.71,69.99,"2018"
"322","35G","201804",78.93,84.47,88.46,"2018"
"323","35H","201804",102.35,95.58,120.84,"2018"
"324","35J","201804",139.9,121.5,137.61,"2018"
"325","46A","201804",50.41,44.58,43.56,"2018"
"326","46B","201804",64.86,64.43,68.16,"2018"
"327","46C","201804",45.32,45.28,44.69,"2018"
"328","46D","201804",49.6,51.85,46.2,"2018"
"329","46E","201804",88.95,89.85,89.99,"2018"
"330","46F","201804",82.41,85.88,91.34,"2018"
"331","46G","201804",110.92,99.46,98.65,"2018"
"332","46H","201804",70.19,65.17,61.1,"2018"
"333","46J","201804",111.09,91.93,94.4,"2018"
"334","47A","201804",40.92,39,41.08,"2018"
"335","47B","201804",43.94,43.38,44.14,"2018"
"336","47C","201804",82.72,78.03,74.75,"2018"
"337","47D","201804",64.94,65.36,60.36,"2018"
"338","47E","201804",67.98,77.69,69.59,"2018"
"339","47F","201804",59.07,55.82,52.31,"2018"
"340","47G","201804",37.36,35.27,40.47,"2018"
"341","47H","201804",62.04,74.91,68.91,"2018"
"342","47J","201804",108.36,113.6,108.84,"2018"
"343","48A","201804",45.45,47.71,38.83,"2018"
"344","48B","201804",72.99,78.11,71.52,"2018"
"345","48C","201804",85.72,95.02,89.21,"2018"
"346","48D","201804",46.29,42.29,44.17,"2018"
"347","48E","201804",92.01,91.02,91.52,"2018"
"348","48F","201804",77.9,72.96,74.79,"2018"
"349","48G","201804",86.17,72.79,81.91,"2018"
"350","48H","201804",95.69,93.2,97.07,"2018"
"351","48J","201804",149.81,171.58,141.72,"2018"
"352","59A","201804",54.86,47.8,52.49,"2018"
"353","59B","201804",42.65,45.96,NA,"2018"
"354","59C","201804",70.31,73.66,72.23,"2018"
"355","59D","201804",115.48,126.76,105.8,"2018"
"356","59E","201804",118.56,97.92,117.8,"2018"
"357","59F","201804",65.9,70.52,73.9,"2018"
"358","59G","201804",74.63,76.4,81.38,"2018"
"359","59H","201804",86.03,91.64,91.24,"2018"
"360","59J","201804",108.25,95.38,100.83,"2018"
"361","10A","201805",54.66,58.32,60.23,"2018"
"362","10B","201805",58.84,63.14,60.32,"2018"
"363","10C","201805",76.08,72.49,75.79,"2018"
"364","10D","201805",70.2,70.46,65.49,"2018"
"365","10E","201805",85.27,84.74,84.05,"2018"
"366","10F","201805",70.59,66.56,70.41,"2018"
"367","10G","201805",118.39,114.86,118.68,"2018"
"368","10H","201805",85.34,85.06,83.25,"2018"
"369","10J","201805",92.94,89.47,86.12,"2018"
"370","11A","201805",62.51,62.97,65.1,"2018"
"371","11B","201805",59.1,61.51,57.31,"2018"
"372","11C","201805",65.61,69.58,65.14,"2018"
"373","11D","201805",56.7,59.74,56,"2018"
"374","11E","201805",109.03,110.62,109.62,"2018"
"375","11F","201805",100.15,107.29,105.68,"2018"
"376","11G","201805",90.62,93.41,92.23,"2018"
"377","11H","201805",81.46,77.16,76.79,"2018"
"378","11J","201805",116.14,106.82,111.16,"2018"
"379","12A","201805",45.73,45.7,44.53,"2018"
"380","12B","201805",70.29,77.24,73.8,"2018"
"381","12C","201805",49.14,47.3,53.82,"2018"
"382","12D","201805",50.84,49.39,52.09,"2018"
"383","12E","201805",65.92,65.86,64.32,"2018"
"384","12F","201805",119.89,113.29,126.21,"2018"
"385","12G","201805",88.54,88.72,87.44,"2018"
"386","12H","201805",72.57,69.32,70.03,"2018"
"387","12J","201805",124.34,128.74,127.41,"2018"
"388","13A","201805",35.31,36.14,37.08,"2018"
"389","13B","201805",55.14,58.68,57.53,"2018"
"390","13C","201805",61.8,61.68,58.4,"2018"
"391","13D","201805",55.99,60.93,55.06,"2018"
"392","13E","201805",105,106.01,104.37,"2018"
"393","13F","201805",79.02,76.71,80.11,"2018"
"394","13G","201805",70.87,72.04,77.49,"2018"
"395","13H","201805",108.49,105.01,114.82,"2018"
"396","13J","201805",70.75,68.15,70.82,"2018"
"397","24A","201805",57.88,60.71,62.5,"2018"
"398","24B","201805",59.55,56.65,60.22,"2018"
"399","24C","201805",62.07,60.26,66.54,"2018"
"400","24D","201805",75.35,69.02,66.5,"2018"
"401","24E","201805",84.43,82.85,80.92,"2018"
"402","24F","201805",61.78,68.09,61.27,"2018"
"403","24G","201805",69.41,66.22,66.69,"2018"
"404","24H","201805",104.4,113.11,114.14,"2018"
"405","24J","201805",93.6,92.13,93.37,"2018"
"406","35A","201805",37.85,35.47,36.56,"2018"
"407","35B","201805",72.92,72.39,72.3,"2018"
"408","35C","201805",56.46,56.2,56.13,"2018"
"409","35D","201805",42.06,44.7,44.59,"2018"
"410","35E","201805",61.79,59.14,69.7,"2018"
"411","35F","201805",47.58,48.04,44.77,"2018"
"412","35G","201805",62.36,56.51,62.27,"2018"
"413","35H","201805",83.85,87.01,95.36,"2018"
"414","35J","201805",95.08,92.3,94.14,"2018"
"415","46A","201805",53.97,46.91,46.32,"2018"
"416","46B","201805",70.78,71.4,72.58,"2018"
"417","46C","201805",50.19,47.68,48.38,"2018"
"418","46D","201805",56.95,45.74,53.15,"2018"
"419","46E","201805",97.63,98.12,91.65,"2018"
"420","46F","201805",94.59,100.2,93.43,"2018"
"421","46G","201805",118.34,114.02,126.64,"2018"
"422","46H","201805",70.34,76.09,73.95,"2018"
"423","46J","201805",112.19,107.74,112.99,"2018"
"424","47A","201805",36.36,36.18,34.14,"2018"
"425","47B","201805",36.71,37.36,42.92,"2018"
"426","47C","201805",64.85,75.57,76.08,"2018"
"427","47D","201805",60.89,60.31,56.92,"2018"
"428","47E","201805",60,66.16,61.29,"2018"
"429","47F","201805",54.81,54.94,51.17,"2018"
"430","47G","201805",33.08,36.11,34.35,"2018"
"431","47H","201805",59.07,62.47,62.87,"2018"
"432","47J","201805",104.12,97.46,102,"2018"
"433","48A","201805",65.22,62.15,67.6,"2018"
"434","48B","201805",93.06,105.05,100.68,"2018"
"435","48C","201805",123.87,117.96,117.01,"2018"
"436","48D","201805",61,57.96,59.28,"2018"
"437","48E","201805",120.89,133.25,116.94,"2018"
"438","48F","201805",110.75,93.44,113.71,"2018"
"439","48G","201805",113.35,120.28,109.96,"2018"
"440","48H","201805",134.67,143.61,128.92,"2018"
"441","48J","201805",210.95,224.86,200.36,"2018"
"442","59A","201805",47.11,42.55,46.89,"2018"
"443","59B","201805",40.15,41.37,NA,"2018"
"444","59C","201805",61.6,62.15,60.96,"2018"
"445","59D","201805",111.39,116.91,110.8,"2018"
"446","59E","201805",98.31,103.79,101.24,"2018"
"447","59F","201805",65.78,64.98,71.65,"2018"
"448","59G","201805",63.61,69.31,70.48,"2018"
"449","59H","201805",79.92,87.66,81.65,"2018"
"450","59J","201805",82.28,90.79,89.21,"2018"
"451","10A","201806",59.71,57.65,60.7,"2018"
"452","10B","201806",75.14,71.88,72.08,"2018"
"453","10C","201806",86.04,87.24,87.99,"2018"
"454","10D","201806",76.62,77.05,76.94,"2018"
"455","10E","201806",87.46,86.52,87.67,"2018"
"456","10F","201806",77.92,76.44,78.99,"2018"
"457","10G","201806",126.78,121.54,129.01,"2018"
"458","10H","201806",84.5,85.2,86.37,"2018"
"459","10J","201806",99.87,103.31,100.94,"2018"
"460","11A","201806",70.11,67.68,67.9,"2018"
"461","11B","201806",59.2,63.87,59.83,"2018"
"462","11C","201806",74.58,78.48,73.62,"2018"
"463","11D","201806",69.14,66.34,66.93,"2018"
"464","11E","201806",111.44,112.28,108.8,"2018"
"465","11F","201806",116.24,111.43,111.81,"2018"
"466","11G","201806",99.03,100.62,96.52,"2018"
"467","11H","201806",90.79,83.91,83.34,"2018"
"468","11J","201806",122.25,114.89,115.11,"2018"
"469","12A","201806",48.36,47.27,47.1,"2018"
"470","12B","201806",83.02,82.71,85.94,"2018"
"471","12C","201806",57.25,58.87,58.82,"2018"
"472","12D","201806",54.79,53.28,54.65,"2018"
"473","12E","201806",71.07,70.03,70.24,"2018"
"474","12F","201806",125.3,125.6,128.11,"2018"
"475","12G","201806",84.24,93.56,88.88,"2018"
"476","12H","201806",70.67,72.3,74.03,"2018"
"477","12J","201806",132.74,129.82,132.95,"2018"
"478","13A","201806",40.25,39.44,39.9,"2018"
"479","13B","201806",58.57,56.7,58.46,"2018"
"480","13C","201806",66.61,72.37,69.67,"2018"
"481","13D","201806",56.68,62.03,59.68,"2018"
"482","13E","201806",112.41,117.01,118.65,"2018"
"483","13F","201806",92.28,89.45,89.64,"2018"
"484","13G","201806",83.83,86.33,81.99,"2018"
"485","13H","201806",116.4,117.45,114.54,"2018"
"486","13J","201806",70.15,75.96,76.36,"2018"
"487","24A","201806",82.48,64.14,66.18,"2018"
"488","24B","201806",78.39,84.88,81.43,"2018"
"489","24C","201806",76.86,74.99,71.18,"2018"
"490","24D","201806",91.27,92.19,91.85,"2018"
"491","24E","201806",110.73,109.96,117.86,"2018"
"492","24F","201806",78.88,74.12,65.87,"2018"
"493","24G","201806",83.58,86.85,97.26,"2018"
"494","24H","201806",142.32,138.31,135.71,"2018"
"495","24J","201806",122.54,125.2,101.67,"2018"
"496","35A","201806",49.02,45.89,52.42,"2018"
"497","35B","201806",89.84,96.06,86.29,"2018"
"498","35C","201806",74.99,74.55,80.01,"2018"
"499","35D","201806",61.62,59.96,62.53,"2018"
"500","35E","201806",92.34,87.27,89.32,"2018"
"501","35F","201806",77.23,69.64,75.12,"2018"
"502","35G","201806",82.42,85.76,81.09,"2018"
"503","35H","201806",136.92,115.03,122.05,"2018"
"504","35J","201806",135.01,133.38,124.27,"2018"
"505","46A","201806",52.53,55.05,56.76,"2018"
"506","46B","201806",81.35,70,85.29,"2018"
"507","46C","201806",48.68,53.53,47.31,"2018"
"508","46D","201806",55.02,59.51,63,"2018"
"509","46E","201806",84.38,98.68,87.27,"2018"
"510","46F","201806",105.6,109.01,101.91,"2018"
"511","46G","201806",127.96,115.92,124.72,"2018"
"512","46H","201806",71.99,79.75,74.05,"2018"
"513","46J","201806",103.98,101.88,115.46,"2018"
"514","47A","201806",37.22,39.27,41.15,"2018"
"515","47B","201806",51.61,45.6,51.26,"2018"
"516","47C","201806",70.39,67.83,68.46,"2018"
"517","47D","201806",74.62,61.68,66.89,"2018"
"518","47E","201806",71.75,75.76,64.94,"2018"
"519","47F","201806",68.22,50.71,64.9,"2018"
"520","47G","201806",36.76,43.45,37.38,"2018"
"521","47H","201806",92.03,71.17,79.13,"2018"
"522","47J","201806",110.04,124.2,112.46,"2018"
"523","48A","201806",46.06,50.08,48.13,"2018"
"524","48B","201806",86.55,86.26,82.75,"2018"
"525","48C","201806",102.31,94.34,92.63,"2018"
"526","48D","201806",51.46,48.52,45.66,"2018"
"527","48E","201806",93.02,95.22,107.28,"2018"
"528","48F","201806",103.05,84.59,100.5,"2018"
"529","48G","201806",97.45,99,91.99,"2018"
"530","48H","201806",99.78,91.05,100.52,"2018"
"531","48J","201806",194.51,185.44,165.71,"2018"
"532","59A","201806",53.27,51.41,49.45,"2018"
"533","59B","201806",42.6,41.31,NA,"2018"
"534","59C","201806",67.68,74.52,78.43,"2018"
"535","59D","201806",141.31,139.24,144.68,"2018"
"536","59E","201806",108.34,105.81,112.38,"2018"
"537","59F","201806",74.49,72.88,67.29,"2018"
"538","59G","201806",70.55,72.72,73.92,"2018"
